Country latitude	longitude	distance_from_france	is_from_france	alim_ssssgrp_nom_fr	alim_ssgrp_nom_fr	alim_grp_nom_fr	Nb_scans	Nb_unique_scans
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	plats de légumes/légumineuses	plats composés	entrées et plats composés	285	188.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	plats de poisson et féculents	plats composés	entrées et plats composés	81	55.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	plats de poisson sans garniture	plats composés	entrées et plats composés	90	62.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	plats de viande et féculents	plats composés	entrées et plats composés	9	6.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	plats de viande et légumes/légumineuses	plats composés	entrées et plats composés	67	46.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	plats végétariens	plats composés	entrées et plats composés	85	57.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	pâtes, riz et céréales crus	pâtes, riz et céréales	produits céréaliers	18	12.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	pâtés et terrines	charcuteries et assimilés	viandes, œufs, poissons et assimilés	53	38.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	rillettes	charcuteries et assimilés	viandes, œufs, poissons et assimilés	40	27.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	sauces condimentaires	sauces	aides culinaires et ingrédients divers	130	66.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	sauces sucrées	sauces	aides culinaires et ingrédients divers	25	16.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	saucisses et assimilés	charcuteries et assimilés	viandes, œufs, poissons et assimilés	3	2.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	saucisson secs	charcuteries et assimilés	viandes, œufs, poissons et assimilés	13	5.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	vins	boisson alcoolisées	eaux et autres boissons	1	1.0
Armenia	40.7696272	44.6736646	3460.8408203536023	0	jus	boissons sans alcool	eaux et autres boissons	1	1.0
Armenia	40.7696272	44.6736646	3460.8408203536023	0	sauces condimentaires	sauces	aides culinaires et ingrédients divers	1	1.0
Aruba	12.4902998	-69.96098420000001	7628.073991667932	0	boissons végétales	boissons sans alcool	eaux et autres boissons	42	22.0
Aruba	12.4902998	-69.96098420000001	7628.073991667932	0	sauces condimentaires	sauces	aides culinaires et ingrédients divers	1	1.0
Australia	-24.7761086	134.755	15227.638539218171	0	Autre autres matières grasses	autres matières grasses	matières grasses	10	7.0
Australia	-24.7761086	134.755	15227.638539218171	0	Autre biscuits sucrés	biscuits sucrés	produits sucrés	7	4.0
Australia	-24.7761086	134.755	15227.638539218171	0	Autre chocolats et produits à base de chocolat	chocolats et produits à base de chocolat	produits sucrés	2	2.0
Australia	-24.7761086	134.755	15227.638539218171	0	Autre céréales de petit-déjeuner	céréales de petit-déjeuner	produits sucrés	1	1.0
Australia	-24.7761086	134.755	15227.638539218171	0	Autre denrées destinées à une alimentation particulière	denrées destinées à une alimentation particulière	aides culinaires et ingrédients divers	1	1.0
Australia	-24.7761086	134.755	15227.638539218171	0	Autre laits	laits	produits laitiers et assimilés	4	4.0
Australia	-24.7761086	134.755	15227.638539218171	0	Autre produits sucrés	Autre produits sucrés	produits sucrés	1	1.0
Australia	-24.7761086	134.755	15227.638539218171	0	Autre produits à base de poissons et produits de la mer	produits à base de poissons et produits de la mer	viandes, œufs, poissons et assimilés	9	5.0
Australia	-24.7761086	134.755	15227.638539218171	0	Autre viennoiseries	viennoiseries	produits sucrés	0	0.0
Australia	-24.7761086	134.755	15227.638539218171	0	autres fromages et spécialités	fromages et assimilés	produits laitiers et assimilés	4	1.0
Australia	-24.7761086	134.755	15227.638539218171	0	autres viandes	viandes cuites	viandes, œufs, poissons et assimilés	18	16.0
Australia	-24.7761086	134.755	15227.638539218171	0	bières et cidres	boisson alcoolisées	eaux et autres boissons	0	0.0
Australia	-24.7761086	134.755	15227.638539218171	0	boissons rafraîchissantes lactées	boissons sans alcool	eaux et autres boissons	3	1.0
Australia	-24.7761086	134.755	15227.638539218171	0	boissons rafraîchissantes sans alcool	boissons sans alcool	eaux et autres boissons	1	1.0
Australia	-24.7761086	134.755	15227.638539218171	0	boissons végétales	boissons sans alcool	eaux et autres boissons	344	214.0
Australia	-24.7761086	134.755	15227.638539218171	0	boissons à reconstituer	boissons sans alcool	eaux et autres boissons	28	21.0
Australia	-24.7761086	134.755	15227.638539218171	0	desserts lactés	produits laitiers frais et assimilés	produits laitiers et assimilés	5	2.0
Australia	-24.7761086	134.755	15227.638539218171	0	fromage fondus	fromages et assimilés	produits laitiers et assimilés	1	1.0
